City_ID,City,Latitude,Longitude,Country,Wind Speed,Max Temp,Humidity,Cloudiness,Date
77,sile,41.18,29.61,TR,5.01,82.0,39,0,1601107885
78,muros,42.78,-9.06,ES,1.01,54.0,93,100,1601107885
79,adrar,20.5,-10.07,MR,8.14,91.38,14,9,1601107886
80,yumen,40.28,97.2,CN,22.68,68.43,23,46,1601107886
81,saint-philippe,-21.36,55.77,RE,10.29,80.6,51,75,1601107886
82,olafsvik,64.89,-23.71,IS,18.25,46.58,89,100,1601107886
83,tasiilaq,65.61,-37.64,GL,16.11,33.8,86,100,1601107887
84,marystown,47.17,-55.15,CA,12.91,46.99,100,0,1601107887
85,los llanos de aridane,28.66,-17.92,ES,11.41,82.0,83,75,1601107887
86,berthierville,46.08,-73.18,CA,1.01,46.99,89,40,1601107887
87,lagoa,39.05,-27.98,PT,10.16,68.22,74,5,1601107888
88,hermanus,-34.42,19.23,ZA,7.0,55.0,73,19,1601107888
89,gondanglegi,-7.75,112.01,ID,19.75,89.98,49,50,1601107888
90,lebu,-37.62,-73.65,CL,5.08,45.82,83,60,1601107888
91,vostok,46.49,135.88,RU,8.81,48.72,74,100,1601107889
92,saskylakh,71.92,114.08,RU,8.25,44.11,64,83,1601107889
93,sidi ali,36.1,0.42,DZ,9.24,69.04,52,61,1601107889
94,faanui,-16.48,-151.75,PF,15.19,78.3,80,0,1601107890
95,tuatapere,-46.13,167.68,NZ,5.01,54.0,67,74,1601107890
96,bathsheba,13.22,-59.52,BB,6.93,80.6,78,20,1601107890
97,ilulissat,69.22,-51.1,GL,6.93,33.8,86,100,1601107890
98,atar,20.52,-13.05,MR,13.35,90.12,26,17,1601107890
99,vaitape,-16.52,-151.75,PF,15.08,79.16,79,1,1601107891
100,puerto ayora,-0.74,-90.35,EC,5.01,68.0,88,99,1601107891
101,matamoros,25.53,-103.25,MX,1.9,70.0,46,0,1601107762
102,half moon bay,37.46,-122.43,US,5.19,62.01,93,1,1601107891
103,ondangwa,-17.92,15.95,NA,7.43,79.3,16,0,1601107891
104,port-gentil,-0.72,8.78,GA,12.75,77.0,94,75,1601107892
105,whitehorse,60.72,-135.05,CA,3.36,37.4,93,40,1601107892
106,aktash,50.3,87.73,RU,4.72,32.74,78,85,1601107892
107,havre,49.58,0.33,FR,24.16,53.6,58,0,1601107892
108,sokolka,53.41,23.5,PL,20.13,69.01,72,100,1601107893
109,guadix,37.3,-3.14,ES,1.99,57.0,37,0,1601107893
110,poddorye,57.47,31.12,RU,9.71,66.58,53,29,1601107893
111,oranjemund,-28.55,16.43,NA,12.28,59.47,57,2,1601107893
112,mysliborz,52.92,14.87,PL,1.99,55.0,100,100,1601107894
113,codrington,-38.27,141.97,AU,15.55,49.62,78,97,1601107894
114,ekhabi,53.51,142.97,RU,8.99,48.47,77,43,1601107894
115,kavaratti,10.57,72.64,IN,5.82,86.0,74,75,1601107895
116,castro,-24.79,-50.01,BR,2.86,56.61,81,5,1601107895
117,fortuna,40.6,-124.16,US,5.82,63.0,93,90,1601107895
118,yulara,-25.24,130.99,AU,8.05,82.4,12,0,1601107895
119,barrow,71.29,-156.79,US,11.41,32.0,99,90,1601107895
120,longyearbyen,78.22,15.64,SJ,3.24,28.4,79,75,1601107896
121,rudsar,37.14,50.29,IR,4.7,80.6,78,75,1601107896
122,sola,-13.88,167.55,VU,18.03,80.89,83,21,1601107896
123,manaure,11.78,-72.44,CO,9.19,83.07,77,97,1601107896
124,atuona,-9.8,-139.03,PF,18.57,77.72,72,0,1601107897
125,mahebourg,-20.41,57.7,MU,12.75,75.2,64,75,1601107897
126,arraial do cabo,-22.97,-42.03,BR,14.88,70.66,91,25,1601107897
127,butaritari,3.07,172.79,KI,14.72,82.13,72,19,1601107897
128,kuala terengganu,5.33,103.14,MY,9.17,89.6,66,20,1601107898
129,gao,16.64,1.64,ML,11.61,92.32,31,0,1601107898
130,ponta delgada,37.73,-25.67,PT,10.29,68.0,82,40,1601107898
131,tigil,57.8,158.67,RU,4.74,39.54,88,0,1601107898
132,oromocto,45.84,-66.48,CA,2.24,51.8,93,90,1601107862
133,avarua,-21.21,-159.78,CK,5.82,73.4,88,100,1601107899
134,hamilton,39.18,-84.53,US,5.82,64.99,87,1,1601107636
135,bowen,-20.02,148.23,AU,9.17,84.2,39,0,1601107899
136,lazaro cardenas,17.96,-102.2,MX,4.25,77.29,83,91,1601107899
137,peterhead,57.51,-1.8,GB,17.22,48.99,81,75,1601107900
138,watertown,42.37,-71.18,US,5.82,61.0,93,90,1601107900
139,santiago del estero,-27.8,-64.26,AR,6.26,78.42,44,0,1601107900
140,upernavik,72.79,-56.15,GL,3.78,26.56,86,100,1601107900
141,camacha,33.08,-16.33,PT,13.87,71.6,68,75,1601107900
142,pisco,-13.7,-76.22,PE,2.24,60.8,82,0,1601107901
143,dumbea,-22.15,166.45,NC,6.93,80.6,61,75,1601107901
144,provideniya,64.38,-173.3,RU,6.64,33.21,88,0,1601107901
145,tornio,65.85,24.15,FI,4.7,41.0,100,75,1601107901
146,kralendijk,12.15,-68.27,BQ,9.17,82.4,74,47,1601107902
147,atkarsk,51.87,45.01,RU,13.8,64.89,36,99,1601107902
148,alangayam,12.6,78.75,IN,6.49,80.4,68,100,1601107902
149,nouadhibou,20.93,-17.03,MR,10.29,75.2,73,29,1601107902
150,bambous virieux,-20.34,57.76,MU,12.75,77.0,64,75,1601107903
151,severo-kurilsk,50.68,156.12,RU,14.65,46.69,66,1,1601107903
152,husavik,66.04,-17.34,IS,27.51,48.2,61,75,1601107903
153,nikolskoye,59.7,30.79,RU,6.71,63.0,77,0,1601107903
154,mecca,21.43,39.83,SA,8.63,102.29,19,0,1601107904
155,laguna,38.42,-121.42,US,3.36,66.0,72,1,1601107904
156,yantal,56.85,105.25,RU,9.75,50.79,77,100,1601107904
157,esperance,-33.87,121.9,AU,10.29,68.0,42,40,1601107904
158,dali,25.7,100.18,CN,3.11,67.64,79,100,1601107905
159,panguna,-6.32,155.48,PG,2.3,70.48,93,100,1601107905
160,vila velha,-20.33,-40.29,BR,6.93,71.6,88,20,1601107651
161,palmer,42.16,-72.33,US,1.74,62.6,93,90,1601107905
162,ukiah,39.15,-123.21,US,4.9,62.6,67,1,1601107905
163,bethanien,-26.5,17.16,NA,3.96,55.15,46,19,1601107906
164,perelyub,51.87,50.37,RU,11.9,62.94,33,96,1601107906
165,sitka,57.05,-135.33,US,3.36,51.8,87,90,1601107906
166,saint anthony,45.02,-93.22,US,1.61,64.0,87,1,1601107906
167,itabira,-19.62,-43.23,BR,2.73,57.38,98,0,1601107907
168,sur,22.57,59.53,OM,8.28,93.67,32,0,1601107907
169,hervey bay,-25.3,152.85,AU,3.0,75.99,32,0,1601107653
170,chistogorskiy,53.98,87.38,RU,3.27,48.24,75,85,1601107907
171,thanh hoa,19.8,105.77,VN,11.23,88.56,72,99,1601107908
172,east london,-33.02,27.91,ZA,20.8,64.4,36,20,1601107908
173,kunya,12.22,8.53,NG,7.72,81.07,62,100,1601107908
174,qaqortoq,60.72,-46.03,GL,7.16,35.6,93,100,1601107908
175,kushima,31.46,131.23,JP,10.29,78.8,65,75,1601107909
176,souillac,-20.52,57.52,MU,12.75,75.2,64,75,1601107909
177,qaanaaq,77.48,-69.36,GL,7.05,12.09,78,29,1601107909
178,cherskiy,68.75,161.3,RU,0.98,34.12,92,62,1601107910
179,dikson,73.51,80.55,RU,34.78,43.03,93,100,1601107910
180,belmonte,-15.86,-38.88,BR,2.24,68.0,88,40,1601107910
181,san quintin,30.48,-115.95,MX,4.34,66.65,90,7,1601107910
182,tadine,-21.55,167.88,NC,10.63,73.26,91,12,1601107910
183,berezovyy,51.67,135.7,RU,2.82,56.1,72,3,1601107911
184,tyrma,50.08,132.17,RU,5.06,61.41,66,0,1601107911
185,busselton,-33.65,115.33,AU,2.33,60.01,68,100,1601107911
186,barabash,43.2,131.48,RU,11.18,68.0,49,1,1601107912
187,tacna,-18.01,-70.25,PE,1.63,61.0,74,67,1601107912
188,corbelia,-24.8,-53.31,BR,5.39,63.7,74,0,1601107912
189,iqaluit,63.75,-68.51,CA,13.87,26.6,86,40,1601107912
190,charters towers,-20.1,146.27,AU,3.83,82.92,18,0,1601107913
191,rock sound,24.9,-76.2,BS,11.5,82.8,77,98,1601107728
192,te anau,-45.42,167.72,NZ,6.46,45.59,90,71,1601107913
193,new norfolk,-42.78,147.06,AU,4.0,45.0,74,38,1601107913
194,muroto,33.28,134.15,JP,11.41,77.0,61,75,1601107914
195,sao luis do quitunde,-9.32,-35.56,BR,2.24,69.8,100,90,1601107914
196,timra,62.49,17.33,SE,9.17,46.99,87,100,1601107914
197,ayan,56.45,138.17,RU,8.39,51.03,76,90,1601107914
198,constitucion,-35.33,-72.42,CL,3.6,48.24,73,78,1601107914
199,qidong,31.81,121.66,CN,5.01,79.0,61,13,1601107915
200,anacortes,48.51,-122.61,US,5.82,54.0,93,40,1601107662
201,poum,-20.23,164.02,NC,13.22,76.73,84,1,1601107915
202,ribeira grande,38.52,-28.7,PT,6.93,66.2,88,75,1601107915
203,saint-pierre,-21.34,55.48,RE,10.29,80.6,51,75,1601107915
204,guerrero negro,27.98,-114.06,MX,8.41,68.27,90,0,1601107916
205,cherlak,54.16,74.81,RU,9.57,53.11,59,37,1601107916
206,irbil,36.19,44.01,IQ,1.12,93.2,20,0,1601107916
207,mollendo,-17.02,-72.01,PE,8.77,56.93,84,53,1601107916
208,sibolga,1.74,98.78,ID,3.04,79.75,80,100,1601107917
209,dezhou,37.45,116.29,CN,8.25,80.6,32,0,1601107917
210,aquiraz,-3.9,-38.39,BR,14.99,78.8,74,40,1601107917
211,coquimbo,-29.95,-71.34,CL,2.24,53.6,81,7,1601107918
212,kavieng,-2.57,150.8,PG,12.39,83.64,77,19,1601107918
213,waipawa,-41.41,175.52,NZ,26.4,59.0,77,100,1601107918
214,corrente,-3.74,-43.34,BR,4.23,73.18,91,52,1601107918
215,chhindwara,22.07,78.93,IN,0.45,83.79,60,86,1601107919
216,celestun,20.87,-90.4,MX,11.23,79.9,85,100,1601107919
217,chokurdakh,70.63,147.92,RU,8.97,41.72,66,0,1601107919
218,butembo,0.15,29.28,CD,1.66,59.2,100,100,1601107920
219,deputatskiy,69.3,139.9,RU,3.09,35.98,76,0,1601107920
220,lethem,3.38,-59.8,GY,8.34,75.87,80,60,1601107920
221,jijiga,9.35,42.8,ET,15.01,72.16,60,37,1601107920
222,aklavik,68.22,-135.01,CA,11.41,33.8,100,90,1601107921
223,kutum,14.2,24.67,SD,4.34,79.36,39,100,1601107921
224,filadelfia,39.95,-75.16,US,4.74,64.99,88,75,1601107654
225,shimoda,34.67,138.95,JP,13.87,68.0,100,75,1601107921
226,yuci,37.68,112.73,CN,2.24,75.2,38,68,1601107922
227,omboue,-1.57,9.26,GA,8.75,77.9,76,100,1601107922
228,labuhan,-6.88,112.21,ID,12.3,84.79,68,99,1601107922
229,bartica,6.4,-58.62,GY,4.7,77.0,88,20,1601107922
230,tres arroyos,-38.37,-60.28,AR,3.0,51.26,94,100,1601107922
